ALDE,PNL,PSD,UDMR,USR,PER,ANR,PSR,PMP,PRM,PRU,Ddinu,PRD,Ssova,Icurelea,PV,NRadulescu,DFlucus,Mion,PPUSL,TManescu,Enicolache,Vrevnic,Gdinu,Tjalba,Cmarin,Ngalatanu,PACT,PNR,Icalinoiu,Vzamfir,Gbledea,Cneacsu,Dpepene,Ispiridon,Sburduja,Ifenichiu,Ccioban,Apaziuc,PBUN,Nzarhacu,Schelmu,RoRadulescu,Dcornoiu,PVN,Gduta,Gmanciu,Ilinta,Eudrea,Lardelean,Dvreme,ReRadulescu,Rbarna,Pfolica,Tpaleologu,Rcernea,Vbalan
7314,44921,43241,4135,7209,944,1220,345,6480,1134,2948,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6130,45008,47883,10869,9755,942,1155,617,6115,1455,3698,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1605,-1,-1,-1,-1,-1,-1,-1
13321,25559,122049,265,14035,1382,1297,1093,13958,2821,5617,3783,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16783,36369,108374,1287,13029,2640,1503,766,11013,2975,4522,-1,523,2029,1202,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8349,57920,72537,50403,9547,1292,1166,0,4387,1396,5198,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8274,22641,42301,4376,5006,1402,821,347,4363,530,1763,-1,0,-1,-1,292,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5448,27942,83206,239,3953,1042,1020,0,4591,2528,3622,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11507,40738,71162,11825,27016,3632,1511,684,8481,2210,8428,-1,0,-1,-1,0,891,3003,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6136,18257,64265,289,5330,1227,1543,1011,6128,1304,3129,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6657,18584,101905,279,7604,1426,967,560,11228,1729,3726,-1,0,-1,-1,0,-1,-1,1039,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4798,24288,48247,618,3324,0,1076,484,6911,776,2690,-1,0,-1,-1,0,-1,-1,-1,499,1359,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3789,27360,48345,128,3232,490,332,497,2796,706,1691,-1,0,-1,-1,0,-1,-1,-1,464,-1,960,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12868,66001,61922,34634,36429,2280,2808,548,7536,2682,7860,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,1423,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15707,49889,110147,398,21854,3335,2364,1025,21154,3884,6706,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,4538,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1966,3001,6811,50135,1109,365,331,219,1967,0,815,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7102,34625,112433,200,7389,990,1079,795,6768,2185,3813,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13871,43687,153556,327,13194,1081,1176,1063,12823,1978,5673,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11548,31587,102233,560,15244,3074,2508,1258,8922,1806,5504,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,1687,357,465,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2410,-1,-1,-1,-1,-1,-1
8726,10034,62641,146,2575,743,307,248,2402,738,1474,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,344,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7840,20497,65501,913,4788,0,619,898,7804,1740,5469,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,244,3457,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
