ALIANȚA USR PLUS-voturi,PARTIDUL NAȚIONAL LIBERAL-voturi,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi,PARTIDUL MIȘCAREA POPULARĂ-voturi,PARTIDUL PRO ROMÂNIA-voturi,PARTIDUL SOCIAL DEMOCRAT-voturi,PARTIDUL NAȚIUNEA ROMÂNĂ-voturi,PARTIDUL NOUA DREAPTĂ-voturi,PARTIDUL ROMÂNIA MARE-voturi,ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi,PARTIDUL SOCIALIST ROMÂN-voturi,PARTIDUL VERDE-voturi,PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi,PARTIDUL SOCIAL DEMOCRAT AL MUNCITORILOR-voturi,PARTIDUL ECOLOGIST ROMÂN-voturi,PARTIDUL NOUA ROMÂNIE-voturi,UNIUNEA BULGARĂ DIN BANAT-ROMÂNIA-voturi,UNIUNEA SÂRBILOR DIN ROMÂNIA-voturi,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA-voturi,UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi,UNIUNEA ELENĂ DIN ROMÂNIA-voturi,UNIUNEA POLONEZILOR DIN ROMÂNIA-voturi,COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA-voturi,UNIUNEA ARMENILOR DIN ROMÂNIA-voturi,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA-voturi,FEDERAȚIA COMUNITĂȚILOR EVREIEȘTI DIN ROMÂNIA-voturi,UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-voturi,ASOCIAȚIA MACEDONENILOR DIN ROMÂNIA-voturi,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi,UNIUNEA CROAȚILOR DIN ROMÂNIA-voturi,ASOCIAȚIA LIGA ALBANEZILOR DIN ROMÂNIA-voturi,ASOCIAȚIA ITALIENILOR DIN ROMÂNIA – RO.AS.IT.-voturi,ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi,BACIU VIRGIL-CANDIDAT INDEPENDENT-voturi,PARTIDUL COMUNIȘTILOR-voturi,ALIANȚA RENAȘTEREA NAȚIONALĂ-voturi,ANDRIAN TIBERIU-CANDIDAT INDEPENDENT-voturi,DUMA VICTOR-SEBASTIAN-CANDIDAT INDEPENDENT-voturi,PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi,CIOANCA NICOLAE-ILIE-CANDIDAT INDEPENDENT-voturi,RAŢIU OVIDIU-IOAN-CANDIDAT INDEPENDENT-voturi,ALBU ERWIN-VLAD-CANDIDAT INDEPENDENT-voturi,PARTIDUL FORȚA NAȚIONALĂ-voturi,TABARAC ADRIAN-CANDIDAT INDEPENDENT-voturi,CALU NECULAI-CANDIDAT INDEPENDENT-voturi,IVAN ANDREI-CANDIDAT INDEPENDENT-voturi,ALTERNATIVA DREAPTĂ-voturi,NAŞ SORIN-VALERIU-CANDIDAT INDEPENDENT-voturi,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA-voturi,MARTIN CORINA-CANDIDAT INDEPENDENT-voturi,CRISTEA GEORGE-CANDIDAT INDEPENDENT-voturi,PETREA IONEL-CANDIDAT INDEPENDENT-voturi,JALBĂ TIBERIU-MIHAI-ANTONIU-CANDIDAT INDEPENDENT-voturi,CARALICEA GHEORGHE-CANDIDAT INDEPENDENT-voturi,PARTIDUL RE:START ROMÂNIA-voturi,COSTEA VLAD-CANDIDAT INDEPENDENT-voturi,DAVID FELICIA-CANDIDAT INDEPENDENT-voturi,HOLICOV MONICA-CANDIDAT INDEPENDENT-voturi,MITOŞERIU CIPRIAN OLIMPIU-CANDIDAT INDEPENDENT-voturi,MATEI SERGIU-LUCIAN-CANDIDAT INDEPENDENT-voturi,ZMARANDA FLORIN-CANDIDAT INDEPENDENT-voturi,ZAINEA CORNEL-CANDIDAT INDEPENDENT-voturi,PESCARU NICUŞOR-CANDIDAT INDEPENDENT-voturi,BENDORFEAN TRAIAN-CANDIDAT INDEPENDENT-voturi,APOSTOLACHE MIHAI CRISTIAN-CANDIDAT INDEPENDENT-voturi,BOGDAN DUMITRU-CANDIDAT INDEPENDENT-voturi,RĂDULESCU VIRGIL-FLORIN-CANDIDAT INDEPENDENT-voturi,DUŢĂ MARIA-MIHAELA-CANDIDAT INDEPENDENT-voturi,PAPICI MARCELA ANAMARIA-CANDIDAT INDEPENDENT-voturi,BLOCUL UNITĂȚII NAȚIONALE-voturi,TRĂSCĂIAN PETRU-VASILE-CANDIDAT INDEPENDENT-voturi,VECERDEA MARIUS-DANIEL-CANDIDAT INDEPENDENT-voturi,ICHIM COSTICĂ-ROMICĂ-CANDIDAT INDEPENDENT-voturi,ZAMFIR-IGNAT ŞTEFAN-COSTIN-CANDIDAT INDEPENDENT-voturi,ROŞU GICĂ-CANDIDAT INDEPENDENT-voturi,BULAT FLORIN-CANDIDAT INDEPENDENT-voturi,GEONEA IONELA-ALINA-CANDIDAT INDEPENDENT-voturi,NICOLAE VALERIU-CIOLAN-CANDIDAT INDEPENDENT-voturi,ŞERBAN DANIELA-CANDIDAT INDEPENDENT-voturi,OPREA GABRIEL-CANDIDAT INDEPENDENT-voturi,STOCHIŢĂ AUREL-CĂTĂLIN-CANDIDAT INDEPENDENT-voturi,RADU DARIUS-CONSTANTIN-CANDIDAT INDEPENDENT-voturi
24626,30693,308,7682,8792,73849,776,356,978,11801,906,424,1365,364,1740,508,91,50,31,27,109,73,45,82,61,34,34,55,163,82,170,98,524,3571,0,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16237,30550,6813,4919,4433,25156,0,195,662,15389,236,0,1567,478,846,295,275,159,134,104,48,26,11,78,25,54,336,94,223,37,108,48,180,-1,213,2454,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24626,30693,308,7682,8792,73849,776,356,978,11801,906,424,1365,364,1740,508,91,50,31,27,109,73,45,82,61,34,34,55,163,82,170,98,524,3571,0,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21101,34651,1490,7694,5897,59563,0,0,1163,18277,996,0,3015,0,3546,483,183,96,51,52,143,76,102,194,148,79,81,354,101,145,157,169,557,-1,0,0,662,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12690,59120,38459,4522,6970,34054,0,0,1173,15433,0,0,1319,0,749,565,88,96,92,154,64,121,18,63,51,125,1882,176,101,160,588,80,438,-1,0,1973,-1,606,0,-1,-1,-1,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5693,25248,2932,8841,2206,22364,0,0,0,6610,0,245,1023,0,689,0,52,26,210,31,72,28,30,34,56,45,70,121,72,17,49,98,270,-1,0,323,-1,-1,693,2147,740,-1,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7904,19906,321,3525,6032,44447,0,0,1175,14920,0,447,1503,0,853,381,131,34,36,181,125,36,182,91,58,83,27,58,99,93,124,186,171,-1,0,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
43206,41318,7984,5636,5822,33184,503,0,766,12379,517,992,1415,0,2509,0,84,72,42,45,137,79,38,36,45,41,34,118,617,74,105,34,508,-1,0,1020,-1,-1,0,-1,-1,1895,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7494,14513,259,4172,3653,36369,0,0,1038,8464,314,500,891,0,692,170,76,32,15,36,115,28,453,23,35,47,21,64,47,24,113,52,153,-1,0,113,-1,-1,0,-1,-1,-1,148,1479,354,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11242,21117,234,11272,9278,61051,0,0,1343,9827,0,0,0,0,0,542,44,57,51,33,96,98,45,53,105,144,85,260,76,52,208,153,291,-1,0,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5009,21666,68,2474,1996,34126,0,0,462,7041,200,0,474,89,256,221,30,28,10,9,49,15,18,61,14,28,16,52,50,21,62,15,231,-1,0,0,-1,-1,0,-1,-1,-1,0,-1,-1,195,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5563,24172,397,4927,3190,25046,0,102,430,5197,241,0,947,0,2242,229,122,610,78,161,59,12,33,17,20,47,341,143,125,786,62,23,89,-1,0,1116,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48542,66515,24574,8155,6834,27689,0,0,1299,11210,550,0,1780,0,2117,0,133,70,72,67,209,34,13,103,87,103,63,216,175,108,208,78,597,-1,0,2164,-1,-1,0,-1,-1,-1,0,-1,-1,-1,601,693,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
