PSD,USRPLUS,PRO,UDMR,PNL,ALDE,random1,PMP,random2,random3,random4,random5,random6,random7,random8,random9
28242,19058,12533,4673,90096,4605,971,4426,497,495,558,697,223,950,1862,2639
30450,25990,13056,9715,80792,8045,825,6000,624,402,849,569,272,1138,1260,8279
80067,36287,44189,1451,74301,11517,1635,11451,1352,750,1555,1434,584,2505,3364,2326
70717,36657,26289,2822,81461,13462,1723,8627,1578,972,2059,1574,733,3755,3517,2027
47062,24875,19423,47265,107688,7607,897,3764,611,397,705,717,250,905,1426,9505
30585,14145,8152,4680,58387,6259,690,4114,500,382,430,365,212,709,884,2601
47221,11691,20261,882,49868,6613,1364,3159,842,581,964,888,320,2532,2214,2665
44091,61540,24107,12028,94752,10818,1699,8289,1244,911,1968,1709,812,3092,3458,4035
34064,12589,46878,682,31596,3657,1156,3998,677,406,814,921,268,1434,2263,878
61432,19266,33409,1093,47513,12283,1446,5996,979,636,977,924,495,1829,3735,1040
35313,9548,21042,905,44329,4302,947,4011,492,296,489,566,182,839,982,3187
33897,10815,11586,647,43605,4156,569,3249,704,422,570,656,267,1009,962,591
40351,88943,23061,34474,133954,10791,1602,10140,948,587,1870,1077,462,2201,3111,9444
59826,61507,38468,1825,99492,11849,1786,19010,1756,1071,2576,2462,1032,5354,5105,3180
4782,4248,2603,48939,7801,1221,150,880,169,113,255,499,92,318,525,214
71922,24678,39378,1380,66671,5912,1675,7972,1016,678,1182,1316,452,1910,2084,2319
118087,35832,25799,1394,78097,14726,892,8138,1133,617,994,1579,342,1751,2092,1474
61625,32676,27826,1299,68108,11516,1446,10175,1213,886,1581,2144,611,3500,3973,2221
47947,10304,11272,704,31355,15947,459,3156,522,332,458,513,237,790,864,661
46220,11882,23990,885,39349,16344,1499,5447,682,407,1252,1292,155,912,933,943
4545,3732,2664,97622,7062,737,233,732,167,115,196,251,117,327,413,268
54786,22893,23204,4966,58191,8709,1164,4876,895,648,1021,885,327,2020,2163,4528
30195,10735,14296,673,30920,4341,624,3627,676,336,553,682,257,989,1010,522
68737,65748,36498,1920,101358,11360,3185,12437,1664,1150,1869,3436,802,13008,5827,4037
39985,47797,20317,997,82677,8168,1114,10079,823,606,1262,1842,667,2499,3413,1941
38195,28177,17444,8874,60475,5705,1133,11185,765,526,827,1644,305,1167,1161,2961
49903,7286,21023,523,31741,6863,571,3030,424,310,360,323,201,587,590,727
30731,28551,17113,71347,61844,5857,1152,5177,688,483,1220,1054,355,1330,1513,2161
57920,24210,24841,1587,65114,7249,1839,7834,1220,940,1495,1334,952,3613,2821,1964
82120,14156,18189,828,54650,9508,820,4964,796,485,671,1207,263,1006,1081,686
70714,56137,36915,2066,114151,21610,2040,16098,1889,1213,2358,2177,945,4057,5025,4625
18636,11941,12119,39603,36198,5809,478,2455,364,270,383,507,147,436,555,1373
16670,18960,7006,19079,29146,2864,470,1540,351,226,272,439,106,289,360,2441
23071,38200,11104,2694,119342,4941,882,4922,618,375,855,741,535,1233,1748,3121
65496,26440,27171,1402,100802,8769,1864,10610,1223,1033,1433,1291,748,4097,3090,6759
76010,10259,11103,633,50381,7133,662,4325,639,409,533,636,283,904,912,695
45425,78311,32761,7372,110558,10823,1642,13470,1248,808,1915,2794,693,2863,3351,9788
19350,12047,14728,692,28384,4216,678,4260,611,299,648,524,210,982,1185,692
42652,18476,13287,1231,43959,8468,970,4447,959,696,872,791,311,1957,1710,1351
46763,17927,18065,980,56365,8432,780,5454,1211,533,872,881,230,1210,1345,820
43014,13021,13563,702,62052,4244,710,4182,670,465,628,818,304,1307,2281,766
157892,280372,107995,3227,176223,38947,5408,48381,3161,2486,6540,6537,2887,13407,18652,9790
9384,124192,16134,3508,146192,4518,1501,19274,1834,686,2898,2246,765,3948,12321,8776
