Iohannis,Paleologu,Barna,Kelemen,Dancila,Ivan,Peia,Popescu,Banu,Diaconu,MarianStanoevici,Bruynseels,Catarama,Cumpanasu
81895,8410,18039,3561,27414,524,347,381,475,9851,426,4282,987,1638
74723,11631,24108,7218,29845,415,523,506,506,14127,665,4879,862,2575
79893,13543,32575,688,81709,811,844,839,868,37125,1152,8421,1515,4650
90790,12909,32083,1773,63053,1323,1267,1174,1058,24450,1236,8164,2412,3852
86148,13461,27247,36802,44460,574,747,580,619,18872,647,5296,1015,2662
58238,7346,12204,3740,23944,724,302,366,456,7133,296,2924,481,1274
46674,6921,13199,716,51297,810,568,716,642,18702,674,4706,1745,2781
114519,14707,49316,9055,41542,1321,987,894,797,26446,1347,7545,1274,3405
42633,5978,12281,458,39907,699,485,549,493,15577,748,4991,1024,2419
53395,7686,17582,549,62149,705,701,660,678,24143,771,6522,1165,3144
43253,6358,9780,644,34687,325,323,418,433,10235,484,3387,557,1531
40762,3995,9931,367,34509,420,488,447,360,10100,487,3320,735,2444
150204,31073,72026,27832,37214,678,896,850,831,21182,975,9003,1527,2579
125375,20092,49245,812,63207,1106,1152,1272,995,30377,1745,9654,2062,5142
10999,1347,3926,40541,4564,110,125,137,145,2585,149,786,184,440
74537,9871,20091,539,67711,983,518,738,797,21217,854,5329,1425,3779
85884,10182,30630,741,99080,896,757,738,718,26231,865,6205,1296,4478
77841,12960,30076,830,61420,872,723,840,864,25714,1169,7825,1203,3687
34570,3468,8670,334,48571,389,285,365,263,11208,466,2417,521,1825
40936,7107,13393,649,51137,1193,320,480,413,12907,446,4538,593,2091
10574,1330,4193,86969,4590,126,267,166,142,2045,130,810,191,355
62574,9245,20121,3314,54091,580,670,594,519,17841,882,7912,1044,2538
30225,3974,10455,411,30773,348,312,379,329,11034,407,2865,600,1964
119941,25942,59048,910,70548,2451,1177,1237,1032,31500,1367,8587,1671,5011
87952,14157,43579,479,41584,638,953,691,471,21390,1364,5842,1346,3525
68567,13554,23727,6273,35334,533,583,572,630,12568,552,5007,708,2002
37680,3666,7224,432,43037,328,328,234,283,10552,315,2260,505,1306
73848,7819,23556,55771,28550,521,441,546,621,12688,490,4585,631,2071
71089,11453,23654,796,50881,938,910,1002,814,21680,1019,6103,1257,3390
54213,5695,13415,503,78414,535,480,543,413,14682,516,4063,859,8057
125919,19628,45791,949,74731,1534,1262,1317,1045,32770,1995,10747,2185,5436
41734,3680,10558,30513,17975,300,230,346,425,7140,247,2005,327,895
31812,4244,14458,16683,16609,424,181,216,276,5318,175,2151,354,736
134511,6834,22264,1565,19560,402,530,381,525,9941,388,2821,534,1229
100342,17966,27395,910,63613,1222,1234,1167,923,25506,1127,7147,1922,4642
45840,5759,9987,433,72006,447,293,415,340,10238,469,3235,650,2224
137687,20501,65845,4589,43798,728,888,927,991,23266,1193,8873,1419,3482
32923,4821,10576,388,19619,340,287,446,371,8363,412,2946,684,1670
48028,7723,17607,819,46704,683,472,680,618,13271,508,3967,914,2867
57553,6705,15798,624,51170,474,575,556,553,15219,522,4437,530,2392
57110,6713,14115,453,39487,536,459,584,497,12761,602,3713,869,2281
289798,73615,226505,1951,163263,2534,3572,2287,1512,103071,6107,22592,4806,10587
341450,41550,178845,3363,17727,1242,2378,2575,2017,23535,2741,11101,2028,16056
