PSD,PNL,USR,UDMR,ALDE,PMP,PRU,PRM,PER,ANR,PSR,Iciocea,Acarabelea,Imoth,PPU,PNR,Tosvalth,Aniculae,PBUN,PV,PACT,PVN,PRD,PRR
44669,44728,7098,4249,7424,6493,3072,1668,0,1158,561,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0
48862,44698,10339,11070,6856,7117,3920,1685,1366,1294,738,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0
121754,25910,14274,294,14523,15657,5836,3320,2042,1509,1787,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0
109281,37048,13377,1336,19139,11172,4935,3369,3059,1569,1011,-1,-1,-1,0,0,-1,-1,0,0,0,0,648,0
71989,59544,9381,51017,8818,4434,5684,1584,1503,1271,0,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0
42354,23047,4931,4358,8260,4293,1917,616,1448,1092,477,-1,-1,-1,0,0,-1,-1,0,369,0,0,0,0
83526,28100,4092,283,5894,4862,3734,2688,1323,1097,0,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0
72846,42342,28664,11983,12096,9091,7878,2738,4990,0,1178,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0
65211,18373,5344,313,6344,6335,3188,1472,1404,1762,1279,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0
101977,18460,7618,358,6980,12201,4013,2109,1718,1067,823,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0
47689,27650,3330,663,5943,6440,2877,905,0,1105,649,-1,-1,-1,702,0,-1,-1,0,0,0,0,0,0
48414,27189,3331,160,4016,3355,1921,0,648,413,707,-1,-1,-1,611,0,-1,1203,0,0,0,0,0,0
62505,66862,36637,34970,12079,7863,8429,2801,3060,2884,736,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0
112104,53396,21716,531,15531,21115,7253,4219,3877,2463,1127,-1,-1,3364,0,0,-1,-1,0,0,0,0,0,0
7035,2937,1220,50418,1909,2066,883,0,530,365,351,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0
111248,34767,7704,214,7115,6928,4157,2542,1156,1211,1421,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0
151461,44678,13488,376,16001,12293,5830,2305,1544,1303,1649,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0
104045,33065,15132,645,13033,10028,5511,2212,4139,3294,1708,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0
62868,10505,2635,158,8471,2355,1582,629,708,353,481,-1,-1,-1,0,0,-1,-1,0,0,425,0,0,52
62277,19012,4870,731,9284,7326,5021,1864,0,810,959,8690,-1,-1,0,219,-1,-1,0,0,0,0,0,0
8493,3663,0,99368,931,1162,1081,866,920,0,0,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0
85932,34159,8123,4932,9774,6282,4507,2544,2894,900,1283,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0
47836,15322,3730,114,4849,4035,2428,0,660,453,832,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0
119217,47764,26121,371,14731,16044,7519,3782,4506,3295,2678,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0
53504,39097,18144,243,8044,7594,3514,0,0,1615,679,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0
57878,25382,9957,8995,6097,10800,7966,0,2813,798,0,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0
60879,18631,2691,281,7714,3191,2319,900,356,295,562,-1,-1,-1,469,0,-1,-1,314,0,0,0,0,0
48171,26065,10854,68986,5464,6804,7176,2351,1161,1145,0,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0
88513,32413,7879,678,8690,8252,5521,3584,0,2060,0,-1,6773,-1,0,695,-1,-1,0,0,0,0,0,0
114513,28307,5158,207,9082,6538,2971,1577,845,554,729,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0
112195,58699,22629,372,25710,14981,11359,4656,4093,2379,0,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0
31382,16643,3515,43108,5587,2868,2308,741,744,483,0,-1,-1,-1,0,318,-1,-1,0,0,0,0,0,0
24934,22680,4532,21279,4221,3042,2870,0,0,541,0,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0
37409,53863,19097,2605,5647,5870,3680,1215,1880,1982,476,-1,-1,-1,0,0,1365,-1,0,0,0,0,0,0
104482,57579,9316,553,11929,9872,5179,3423,3511,2740,0,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0
89288,27982,4654,276,9110,5766,3408,1175,890,537,548,-1,-1,-1,0,0,-1,-1,0,0,294,0,0,0
79499,57715,26228,8233,12378,11919,4801,2604,3380,2399,761,-1,-1,-1,1284,798,-1,-1,425,0,0,0,0,0
34647,13507,4033,302,4149,4930,2165,1400,0,719,846,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0
70881,25487,5914,488,6988,6425,3648,1626,1368,0,1112,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0
72460,25737,7209,479,9459,5107,4395,2862,1208,638,1220,-1,-1,-1,0,319,-1,-1,0,0,0,0,0,0
66316,26999,6461,164,5717,6563,2633,1431,954,1171,1248,-1,-1,-1,0,0,-1,-1,0,350,0,652,0,0
270376,91735,176118,1671,54513,63337,25077,8105,10520,13753,2192,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0
10866,28453,31831,2577,3228,25985,3811,0,0,2297,0,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0
